Operator,Active,Idle,Plugged,New,Unknown,Total
Macrate Oil Co.,0,0,36,0,0,36
Hunnicutt & Camp Drilling Co.,0,0,35,0,0,35
Santa Fe Minerals,0,0,35,0,0,35
"PEOCO, LLC",12,18,4,0,0,34
260 Resource Management LLC,11,23,0,0,0,34
"INNEX California, Inc.",10,20,4,0,0,34
"PowerDrive Energy Services Company, LLC",7,27,0,0,0,34
Ancora-Verde Corporation,0,0,34,0,0,34
"Apex Petroleum Corporation, Ltd.",0,0,34,0,0,34
"City Oil Corp., Oper. for",0,0,34,0,0,34
J. Paul Getty,0,0,34,0,0,34
Porter Sesnon et al,0,0,34,0,0,34
West American Energy Corporation,23,4,6,0,0,33
Clean Energy Systems Placerita Inc.,0,6,27,0,0,33
Unknown Operator,0,5,28,0,0,33
Crest Oil & Gas Management Corp.,0,1,32,0,0,33
"Polaris Production, Inc.",0,0,33,0,0,33
"Chemassist, L.L.C.",21,10,1,0,0,32
Central California Oil Co.,12,2,18,0,0,32
KB Oil & Gas,5,25,2,0,0,32
Vern Jones Oil & Gas Corp.,1,2,29,0,0,32
H. Rogalske,0,25,7,0,0,32
Jaco Production Company,0,21,11,0,0,32
Casex Company,0,0,32,0,0,32
Coast Supply Company Ltd.,0,0,32,0,0,32
Estate of Howard F. O'Brien,0,0,32,0,0,32
"New Chaparral Petroleum, Inc.",0,0,32,0,0,32
Production Specialties Company,0,0,32,0,0,32
"Midway-Sunset Investors, LLC",22,7,2,0,0,31
California Petroleum Group Inc.,7,23,0,1,0,31
"Vesta Oil and Gas, LLC",0,28,3,0,0,31
H. A. Ivers,0,7,24,0,0,31
Ring Oil Co.,0,1,30,0,0,31
Alanmar Energy,0,0,31,0,0,31
BP Exploration U.S.A. Inc.,0,0,31,0,0,31
Pacific Energy Resources Ltd.,0,0,31,0,0,31
"D D Natural Resources, LLC",29,0,1,0,0,30
Lobo Operations LLC,20,10,0,0,0,30
"Macpherson Operating Company, L.P.",16,4,10,0,0,30
"HOC CA, LLC",10,19,1,0,0,30
CAAC 100 LLC,3,27,0,0,0,30
Watt Mineral Holdings LLC,0,30,0,0,0,30
E. A. Doran Oil Co.,0,14,16,0,0,30
California Oil Co.,0,0,30,0,0,30
G E Kadane & Sons,0,0,30,0,0,30
Harry S. Rothschild,0,0,30,0,0,30
