Operator,Active,Idle,Plugged,New,Unknown,Total
California Machinery & Supply Co.,0,0,1,0,0,1
California Medal Products Co.,0,0,1,0,0,1
California National Supply Co.,0,0,1,0,0,1
California Northern Corp.,0,0,1,0,0,1
California Oil Fields Corp. Ltd.,0,0,1,0,0,1
"California Oil Producers, Inc.",0,0,1,0,0,1
California Oils Inc.,0,0,1,0,0,1
California Petro. Corp.,0,0,1,0,0,1
California Profit Sharing Co.,0,0,1,0,0,1
California Reliance,0,0,1,0,0,1
California Resorts,0,0,1,0,0,1
California Resorts/Haseko Assoc.,0,0,1,0,0,1
California Southern Crude Oil,0,0,1,0,0,1
California Tar Sands Development Corp.,0,0,1,0,0,1
Califrill Oil Co.,0,0,1,0,0,1
Calistoga,0,0,1,0,0,1
Calizoo Oil Co.,0,0,1,0,0,1
Calleguas Oil Syndicate,0,0,1,0,0,1
Callie M. Higgins,0,0,1,0,0,1
Calmont Oil Co.,0,0,1,0,0,1
Calnev Investment Corp.,0,0,1,0,0,1
Caloil Producing Company,0,0,1,0,0,1
Calstan Petroleum Co.,0,0,1,0,0,1
Caltana Corp.,0,0,1,0,0,1
Calwin Oil Co.,0,0,1,0,0,1
Camarillo Oil Co.,0,0,1,0,0,1
Camarillo Oil Synd,0,0,1,0,0,1
Camden Exploration Co.,0,0,1,0,0,1
Camden Oil Co.,0,0,1,0,0,1
Camerina Petro. Corp.,0,0,1,0,0,1
Cameron Wright,0,0,1,0,0,1
"Camp Oil Co., Inc.",0,0,1,0,0,1
Campbell & Associates,0,0,1,0,0,1
Campbell and Shell,0,0,1,0,0,1
"Campbell, Shell & Collins",0,0,1,0,0,1
Campeet Oil Co.,0,0,1,0,0,1
Camroo Oil Co.,0,0,1,0,0,1
Canada West Oil Co.,0,0,1,0,0,1
Canadian Capital Corp.,0,0,1,0,0,1
Cannella & Cannella,0,0,1,0,0,1
Cannon Day Oil Synd.,0,0,1,0,0,1
Cantua Creek Oil Co.,0,0,1,0,0,1
Canus Petroleum Inc.,0,0,1,0,0,1
"Cap Drilling Co., Inc.",0,0,1,0,0,1
Cape Co.,0,0,1,0,0,1
Captain Richard Thew,0,0,1,0,0,1
Caravel Petroleum Corp.,0,0,1,0,0,1
"Carbon Oil Co., Ltd.",0,0,1,0,0,1
Carey-Evans Oil Co.,0,0,1,0,0,1
Caribou Oil Mining Co.,0,0,1,0,0,1
Carl Crossen,0,0,1,0,0,1
Carl E. Braly,0,0,1,0,0,1
Carl E. Kreyenhagen,0,0,1,0,0,1
"Carl Pressel, Frank Perry & Gilbert Tull",0,0,1,0,0,1
Carl R. Pohland Assoc.,0,0,1,0,0,1
Carl S. Weller,0,0,1,0,0,1
Carla Stafford-Lewis,0,0,1,0,0,1
Carlisle Oil Co,0,0,1,0,0,1
Carlton Beal,0,0,1,0,0,1
Carmack Oil Co.,0,0,1,0,0,1
Carolina Oil Co.,0,0,1,0,0,1
Carolina Western Oil Company,0,0,1,0,0,1
Carpenteria Oil,0,0,1,0,0,1
Carpinteria Oil & Gas Co.,0,0,1,0,0,1
"Carr, Wrath & Payne",0,0,1,0,0,1
Carranza Oil Co.,0,0,1,0,0,1
Carrey & Adams,0,0,1,0,0,1
Carrey & Edwards,0,0,1,0,0,1
Carrillo Expl. Co.,0,0,1,0,0,1
Carrizo Valley Oil Corp.,0,0,1,0,0,1
"Carter Petro. Co., Ltd.",0,0,1,0,0,1
Carter Purvis,0,0,1,0,0,1
"Carter, Evans and Assoc",0,0,1,0,0,1
Casa Grande Oil Co.,0,0,1,0,0,1
Casamera Oil Co.,0,0,1,0,0,1
Case Min. & Pet.,0,0,1,0,0,1
Casner and Bentz,0,0,1,0,0,1
Castaic Oil Association,0,0,1,0,0,1
Castaic Oil Company,0,0,1,0,0,1
Castle Oil Co.,0,0,1,0,0,1
Castro Expl Co.,0,0,1,0,0,1
Castro Oil Co.,0,0,1,0,0,1
Cat Canyon Oil Co.,0,0,1,0,0,1
Cates Allen No. 1,0,0,1,0,0,1
"Cather, Rogers, Barnes & Cree",0,0,1,0,0,1
"Cather, Rowan and Barnes & Co.",0,0,1,0,0,1
Cavalier Petro. Corp.,0,0,1,0,0,1
"CDB Investments, L.P.",0,0,1,0,0,1
Cecelia Petro. Co.,0,0,1,0,0,1
Cecille M. Colvin,0,0,1,0,0,1
Cedar Oil Co.,0,0,1,0,0,1
"Celito Oil Corp., Ltd.",0,0,1,0,0,1
Centinela Oil Co.,0,0,1,0,0,1
Central Cal. Oil Co. of Vallejo,0,0,1,0,0,1
Central Natural Gas Co.,0,0,1,0,0,1
Central Oil Co. of L.A.,0,0,1,0,0,1
Central Petro. Co.,0,0,1,0,0,1
Central Union,0,0,1,0,0,1
Central Valley Petro Co.,0,0,1,0,0,1
Centura Inc.,0,0,1,0,0,1
"Century Exploration Resources, LLC",0,0,1,0,0,1
Chadwick G. Trower-Patricia P. Trower,0,0,1,0,0,1
"Challenger Minerals, Inc.",0,0,1,0,0,1
Chalmas & Ford,0,0,1,0,0,1
Channel Oils Ltd,0,0,1,0,0,1
Charles A. Cole,0,0,1,0,0,1
Charles A. Son,0,0,1,0,0,1
Charles B. Colby,0,0,1,0,0,1
Charles B. Webster,0,0,1,0,0,1
"Charles Bailey, Trustee",0,0,1,0,0,1
Charles Beyerbach,0,0,1,0,0,1
Charles Black,0,0,1,0,0,1
Charles F. Simonds Trustee,0,0,1,0,0,1
"Charles H. Hornburg, Jr.",0,0,1,0,0,1
Charles Hayes Kreigh,0,0,1,0,0,1
Charles R. Blyth,0,0,1,0,0,1
"Charles R. Jacobsen, Ltd.",0,0,1,0,0,1
"Charles R. Jacobson, Operator",0,0,1,0,0,1
Charles R. Tatum & Sons,0,0,1,0,0,1
Charles S. & Marie E. Geers,0,0,1,0,0,1
Charles S. Cressaty,0,0,1,0,0,1
Charles W. Camp,0,0,1,0,0,1
Charles W. Harlow,0,0,1,0,0,1
Charles W. Hinesley,0,0,1,0,0,1
Charlton Resources Corp.,0,0,1,0,0,1
Chas E. McCartney,0,0,1,0,0,1
Chas Schmitz,0,0,1,0,0,1
Chas. A. Son,0,0,1,0,0,1
Chas. Differding Trustee,0,0,1,0,0,1
Chas. H. Kaar,0,0,1,0,0,1
Chase Exploration Co.,0,0,1,0,0,1
Chathill Syndicate,0,0,1,0,0,1
Chauk Oil Co.,0,0,1,0,0,1
Chemical Oil Co.,0,0,1,0,0,1
Cherokee Oil Co.,0,0,1,0,0,1
Cherry Hill Co.,0,0,1,0,0,1
Cherry Hill Oil & Gas Co.,0,0,1,0,0,1
Cherrydale Oil Co.,0,0,1,0,0,1
Cheseborough & Goldner,0,0,1,0,0,1
Chester J. Knight,0,0,1,0,0,1
Chicago Oil Co.,0,0,1,0,0,1
Chief Oil Company,0,0,1,0,0,1
Chieftan Oil Co. & Chieftan-Larsen Bros.,0,0,1,0,0,1
Chillicothe Oil & Mining Co.,0,0,1,0,0,1
Chillmani Oil Co.,0,0,1,0,0,1
Chimineas Ltd,0,0,1,0,0,1
Chino-Corono United Oil Co.,0,0,1,0,0,1
Chino Expl. Co.,0,0,1,0,0,1
Chino Lease Co.,0,0,1,0,0,1
CHOB Oil Co.,0,0,1,0,0,1
Cholame Syndicate,0,0,1,0,0,1
"Chris Kufis, M.L. Mitchell, E.A. Frits",0,0,1,0,0,1
Chris Pedersen & J. P. Lahorgue,0,0,1,0,0,1
Chris Pedersen & Raymond Fife,0,0,1,0,0,1
Christian Petersen,0,0,1,0,0,1
Church & Bell Beach,0,0,1,0,0,1
Cimarron Petro. Co.,0,0,1,0,0,1
"Cinco Development Co., Inc",0,0,1,0,0,1
Cinco Inc.,0,0,1,0,0,1
Cirque Resources LP,0,0,1,0,0,1
Cities Service Oil & Gas Corporation,0,0,1,0,0,1
Cities Service Oil Co. & Atlantic Oil Co,0,0,1,0,0,1
Citizens Oil Corp. of California,0,0,1,0,0,1
Citrus Grove Hts. Water Co.,0,0,1,0,0,1
City of Hermosa Beach,0,0,1,0,0,1
City of Torrance,0,0,1,0,0,1
Clair J Gibson,0,0,1,0,0,1
Clar-Kel Oil Co.,0,0,1,0,0,1
Claran Oil Co,0,0,1,0,0,1
Claremont Energy,0,0,1,0,0,1
Clarence Decker and W. T. Osborne,0,0,1,0,0,1
Clarence E. Harrison,0,0,1,0,0,1
Clarence M. Turner Syndicate,0,0,1,0,0,1
Clarion Res. Inc.,0,0,1,0,0,1
Clark Oil Co.,0,0,1,0,0,1
Clark Stevens & Duncan,0,0,1,0,0,1
Claud Clayton,0,0,1,0,0,1
Claude Kavanaugh & L R Wilhite,0,0,1,0,0,1
Clayton Devl Co.,0,0,1,0,0,1
Clear View Oil Co.,0,0,1,0,0,1
Cliff Baker,0,0,1,0,0,1
Cliff E. Zillgitt & James H. McCue,0,0,1,0,0,1
Cliff Petroleum,0,0,1,0,0,1
Clifford A. Robinett,0,0,1,0,0,1
Clifford H. Johnson,0,0,1,0,0,1
"Clifford H. Marker, Operator",0,0,1,0,0,1
Clifford I. Miller,0,0,1,0,0,1
Climax Oil Co.,0,0,1,0,0,1
Clint H. Woodington,0,0,1,0,0,1
Clovis Oil Co.,0,0,1,0,0,1
Club Oil Co.,0,0,1,0,0,1
Clyde F. Taylor,0,0,1,0,0,1
Clyde Oil Company,0,0,1,0,0,1
Co-Operative Oil Corp.,0,0,1,0,0,1
Co-Operative Petro. Synd. No.3,0,0,1,0,0,1
Coalinga-Mohawk Oil Co.,0,0,1,0,0,1
Coalinga Hub Oil Co.,0,0,1,0,0,1
Coalinga Income Oil Co.,0,0,1,0,0,1
Coalinga Kettleman Oil Co.,0,0,1,0,0,1
Coalinga Lubricating Oil Co.,0,0,1,0,0,1
Coalinga Red Top,0,0,1,0,0,1
Coalinga South Pole,0,0,1,0,0,1
Coast-Gibson Oil Operations,0,0,1,0,0,1
"Coast-Parker, Inc.",0,0,1,0,0,1
Coast Expl. & Golden Bear Oil Co.,0,0,1,0,0,1
Coast Oil Co.,0,0,1,0,0,1
Coast Supply Co.,0,0,1,0,0,1
Coastal Energy Dev. Co.,0,0,1,0,0,1
Coastal Oil Co.,0,0,1,0,0,1
"Coastline Oil Co., Ltd",0,0,1,0,0,1
Coastridge Oil Co.,0,0,1,0,0,1
Cobra Oil Co.,0,0,1,0,0,1
"Cochran Oil Co., Inc.",0,0,1,0,0,1
Coelho & Case Oil Company,0,0,1,0,0,1
Coffman Oil Co. Ltd,0,0,1,0,0,1
Cohearn Oil Co.,0,0,1,0,0,1
Cohn & Mitchell,0,0,1,0,0,1
Cole Oil Co.,0,0,1,0,0,1
"Cole, Drais, Martter and Wood, Inc.",0,0,1,0,0,1
"Coleman L. Caine, Oper.",0,0,1,0,0,1
"College West Partners, LP",0,0,1,0,0,1
Colma Oil Co.,0,0,1,0,0,1
Colonial Oil Corp.,0,0,1,0,0,1
Colorado Oil Company,0,0,1,0,0,1
Colquitt Drilling Co.,0,0,1,0,0,1
Columbia Pacific Petro. Corp.,0,0,1,0,0,1
Columbus Midway Oil Co.,0,0,1,0,0,1
Colvin and Delaney,0,0,1,0,0,1
Comanche Point Oil,0,0,1,0,0,1
Comanche Point Production Co. Inc.,0,0,1,0,0,1
Combined Oil Co.,0,0,1,0,0,1
COMCO,0,0,1,0,0,1
Commander Oil Company,0,0,1,0,0,1
Commercial Oil Co. of California,0,0,1,0,0,1
"Commercial Oil Corp., Ltd.",0,0,1,0,0,1
Commodore Petroleum Corporation,0,0,1,0,0,1
Community Oil,0,0,1,0,0,1
Como Oil Co.,0,0,1,0,0,1
Compass Oil Co.,0,0,1,0,0,1
Comstock Crude,0,0,1,0,0,1
Comstock Oil Co.,0,0,1,0,0,1
Comstock Petro. Co.,0,0,1,0,0,1
Conejo Hills Oil Co.,0,0,1,0,0,1
Conejo Oil Trust,0,0,1,0,0,1
Conexx Oil Company Inc.,0,0,1,0,0,1
Confidence Oil Co.,0,0,1,0,0,1
Conrad A. Fischer,0,0,1,0,0,1
"Considine Oil Co., Ltd.",0,0,1,0,0,1
Consolidated Empire Petro. Inc.,0,0,1,0,0,1
Consolidated Oil Co.,0,0,1,0,0,1
"Consolidated Properties, Ltd.",0,0,1,0,0,1
Constance V. L. Perry,0,0,1,0,0,1
Constitutional Oil Co.,0,0,1,0,0,1
Continental Development Corporation,0,0,1,0,0,1
"Continental Properties, Inc.",0,0,1,0,0,1
Contra Costa Oil Synd,0,0,1,0,0,1
Contratto Oil Co.,0,0,1,0,0,1
Cook Westrn Oil & Gas Prod Inc,0,0,1,0,0,1
"Cooperative Dev. Co., Ltd.",0,0,1,0,0,1
Copa De Ora Petro. Co.,0,0,1,0,0,1
Coral Hoyt,0,0,1,0,0,1
Cordelia Oil & Gas Co.,0,0,1,0,0,1
Core Drill Ltd,0,0,1,0,0,1
Core Oil Syndicate,0,0,1,0,0,1
Corey,0,0,1,0,0,1
Corinth Petro. Corp.,0,0,1,0,0,1
Corlitz Oil Co.,0,0,1,0,0,1
Cormac Drilling & Prod.,0,0,1,0,0,1
Cornell & Givan,0,0,1,0,0,1
Coronado Oil Co.,0,0,1,0,0,1
Corrigan Oil Co.,0,0,1,0,0,1
Coseka Resources (USA) Ltd.,0,0,1,0,0,1
Cosmo Oil Co.,0,0,1,0,0,1
Costa Mesa County Water District,0,0,1,0,0,1
Costa Mesa Oil Co.,0,0,1,0,0,1
"Costajo Ranch, Inc.",0,0,1,0,0,1
Country Club Oil Co.,0,0,1,0,0,1
Cousins Oil Co.,0,0,1,0,0,1
"Covington Oil Co., Ltd.",0,0,1,0,0,1
Cox & Alexander,0,0,1,0,0,1
"Coyote Oil, LLC",0,0,1,0,0,1
Craft Petro. Corp.,0,0,1,0,0,1
Crafton Oil Co.,0,0,1,0,0,1
Craig-Burns & Co. Inc.,0,0,1,0,0,1
Craig & Winn Oil Co.,0,0,1,0,0,1
Craig H. Lewis,0,0,1,0,0,1
Crail Bros Inc. Ltd,0,0,1,0,0,1
Crawford & Assoc.,0,0,1,0,0,1
Crawford H. Bent,0,0,1,0,0,1
Crawford Hiles,0,0,1,0,0,1
Cree Oil Company,0,0,1,0,0,1
Cree Oil Ltd - Barco Oil Co.,0,0,1,0,0,1
Crescent Petroleum Co.,0,0,1,0,0,1
Crest Petro. Co.,0,0,1,0,0,1
Crestmont Oil Company,0,0,1,0,0,1
Crestmount Oil Co.,0,0,1,0,0,1
Creston Operator LLC,0,0,1,0,0,1
Crissman & Watkins,0,0,1,0,0,1
Crome Oil Co.,0,0,1,0,0,1
Crosno and Elliston,0,0,1,0,0,1
Crown-Huntington Oils Ltd.--Vagabond,0,0,1,0,0,1
Crown & Cree Oil Co.,0,0,1,0,0,1
Crown & Stevenson,0,0,1,0,0,1
Crown Energy Dev. Co.,0,0,1,0,0,1
Crown King Oil Co.,0,0,1,0,0,1
"Crude Oil Drilling Co., Ltd.",0,0,1,0,0,1
"Crude Oil Producers, Inc.",0,0,1,0,0,1
"Crude Oils, Inc.",0,0,1,0,0,1
Crupper Operating & Trading Company,0,0,1,0,0,1
Crusaders Petroleum Corp.,0,0,1,0,0,1
Crystal Oil Co.,0,0,1,0,0,1
Cullen E. Nye,0,0,1,0,0,1
"Culver Investments, Inc.",0,0,1,0,0,1
Cumberland Oil Co.,0,0,1,0,0,1
"Cumming Petroleum, Ltd.",0,0,1,0,0,1
"Cunningham Investments, Inc.",0,0,1,0,0,1
"Currency Petro., Inc.",0,0,1,0,0,1
Cuyama Petro. Co.,0,0,1,0,0,1
Cuyama Trust Syndicate,0,0,1,0,0,1
Cuyama Valley Oil Corp.Lt,0,0,1,0,0,1
"Cyrus Peirce, Agent",0,0,1,0,0,1
Czoco Oil Company,0,0,1,0,0,1
D'Angelo Oil Co.,0,0,1,0,0,1
D & B Oil Co.,0,0,1,0,0,1
D H M Oil Co.,0,0,1,0,0,1
D K Associates - 2,0,0,1,0,0,1
D K Associates #3,0,0,1,0,0,1
D. & M. Oil Co.,0,0,1,0,0,1
D. A. Brown,0,0,1,0,0,1
"D. A. Rogers, Oper.",0,0,1,0,0,1
D. A. Stark,0,0,1,0,0,1
D. D. Dunlap & E. A. Bender,0,0,1,0,0,1
D. D. Feldman,0,0,1,0,0,1
D. D. Lucas,0,0,1,0,0,1
D. E. Brannan,0,0,1,0,0,1
D. G. MacGregor,0,0,1,0,0,1
D. H. B. Oil Co.,0,0,1,0,0,1
D. H. Graham & Assoc. Well No. 2,0,0,1,0,0,1
D. H. Graham & Assoc. Well No. 3,0,0,1,0,0,1
"D. H. Graham, Operator",0,0,1,0,0,1
D. Herbert Hostetter,0,0,1,0,0,1
D. J. Pickrell & E. W. Meyer,0,0,1,0,0,1
D. K. Partnership #3,0,0,1,0,0,1
D. K. Partnership #4,0,0,1,0,0,1
D. M. & Associates,0,0,1,0,0,1
D. M. Gay,0,0,1,0,0,1
D. R. Langstaff,0,0,1,0,0,1
D. S. & W. Oil Co.,0,0,1,0,0,1
D. S. Bushnell,0,0,1,0,0,1
D. Tresaden & H Reynolds,0,0,1,0,0,1
D. V. Nelson,0,0,1,0,0,1
D. W. Elliot & Assoc.,0,0,1,0,0,1
D. W. Elliott and Pexco Inc.,0,0,1,0,0,1
D. W. Griffith Oil Co.,0,0,1,0,0,1
"D.G.H. Developers, Inc.",0,0,1,0,0,1
D.R.K. Co.,0,0,1,0,0,1
Dabney & Lloyd,0,0,1,0,0,1
Dabney & Robertson,0,0,1,0,0,1
Dacarr Corp.,0,0,1,0,0,1
Dafor Dev. Co.,0,0,1,0,0,1
Daigle Enterprises,0,0,1,0,0,1
Dale Hankins,0,0,1,0,0,1
"Dale, I J Vojvoda & Assoc",0,0,1,0,0,1
Dallas D. Cox,0,0,1,0,0,1
Dan Fisher Opr,0,0,1,0,0,1
Dan Murphy,0,0,1,0,0,1
Dan Sheppard,0,0,1,0,0,1
Dan Sheppard & Assoc.,0,0,1,0,0,1
Danciger Oil & Refinin Co.,0,0,1,0,0,1
Daniel M Hunsaker & Geo C Atha,0,0,1,0,0,1
Daniele Amfitheatrof and Associates,0,0,1,0,0,1
Danielson Oil Co.,0,0,1,0,0,1
Darby Oil Co. of Nevada,0,0,1,0,0,1
David C Jones & Richard Jones,0,0,1,0,0,1
David D. Behr,0,0,1,0,0,1
David E. Hedgecock,0,0,1,0,0,1
David Fiddyment,0,0,1,0,0,1
David Robbins,0,0,1,0,0,1
David W. Silvers,0,0,1,0,0,1
Davidge & Wilson,0,0,1,0,0,1
Davidson Oil Co.,0,0,1,0,0,1
Davis & Haines,0,0,1,0,0,1
Davis & Irwin,0,0,1,0,0,1
Davis & MacMillan Co.,0,0,1,0,0,1
Davis & Remington,0,0,1,0,0,1
"Davis, Davis & Davis",0,0,1,0,0,1
Dawson Oil Co.,0,0,1,0,0,1
DBF Partners,0,0,1,0,0,1
De Anza Oil Co. Ltd.,0,0,1,0,0,1
De Leske Petro. Corp.,0,0,1,0,0,1
Deane Newenham,0,0,1,0,0,1
Deep Hole Drilling Corp.,0,0,1,0,0,1
Deep Zone Oil Co.,0,0,1,0,0,1
"Deertrail Abbey Court 1, LLC",0,0,1,0,0,1
"Deeter Homes, Inc.",0,0,1,0,0,1
Degener Petroleum Corporation,0,0,1,0,0,1
Del Amo-Earl Properties,0,0,1,0,0,1
"Del Amo Associates, LLC",0,0,1,0,0,1
Del Amo Energy Co.,0,0,1,0,0,1
Del Mar Oil Corp.,0,0,1,0,0,1
Del Valle Gasoline Co.,0,0,1,0,0,1
Delaney Producing & Refining Co.,0,0,1,0,0,1
Delay Land Co.,0,0,1,0,0,1
Delfern Joint Venture,0,0,1,0,0,1
Delroco Oil,0,0,1,0,0,1
Delroy Petro. Corp.,0,0,1,0,0,1
"Delta Mgm Corp., Fitzgerald, Oper.",0,0,1,0,0,1
Delta Sierra Oil & Gas LLC,0,0,1,0,0,1
"Den Petroleum, Inc.",0,0,1,0,0,1
Dennis & Palmer,0,0,1,0,0,1
"Denny Drilling Co., Ltd.",0,0,1,0,0,1
"Denverton Gas Co., Ltd.",0,0,1,0,0,1
Department of Water Res.,0,0,1,0,0,1
Department of Water Resources (DWR),0,0,1,0,0,1
Derby Oil & Gas Co.,0,0,1,0,0,1
Derby Oil of Calif. Inc.,0,0,1,0,0,1
Desert Glow Oil Company,0,0,1,0,0,1
Devils Den Consolidated Oil Co.,0,0,1,0,0,1
"Devine and Bell, Oper.",0,0,1,0,0,1
Dewayne L. Boccali,0,0,1,0,0,1
Dewitt Langford,0,0,1,0,0,1
Diablo Oil Co.,0,0,1,0,0,1
Diamond Drilling Company,0,0,1,0,0,1
"Dicco, Inc.",0,0,1,0,0,1
Dill & Comstock,0,0,1,0,0,1
Dispatch Oil,0,0,1,0,0,1
District Oil Co.,0,0,1,0,0,1
"DLM Ventures, LLC",0,0,1,0,0,1
Doc Expl. Co.,0,0,1,0,0,1
Doc Oil Co. of Nevada,0,0,1,0,0,1
Dodson Oil Co.,0,0,1,0,0,1
Doheny Stone Drill Co.,0,0,1,0,0,1
Dohm Oil Co.,0,0,1,0,0,1
"Dollar Oil Co., Inc.",0,0,1,0,0,1
Dollar Oil Company,0,0,1,0,0,1
Dome Oil Co.,0,0,1,0,0,1
Dominguez Estate Co.,0,0,1,0,0,1
Dominguez Oil Co.,0,0,1,0,0,1
"Don A. and Jean Robinson Irrevocable Trust, Dated May 8th, 1997",0,0,1,0,0,1
Don A. Leigh,0,0,1,0,0,1
"Don C. Winkler, Operator",0,0,1,0,0,1
Don Galitzen,0,0,1,0,0,1
Don J. Leeman,0,0,1,0,0,1
Don Le,0,0,1,0,0,1
Don Pedro Oil Co.,0,0,1,0,0,1
Don Smith and Assoc.,0,0,1,0,0,1
Donald & Alice Santos,0,0,1,0,0,1
Donald B. Lamont,0,0,1,0,0,1
"Donald C. Slawson Expl.Co.,Inc.",0,0,1,0,0,1
Donald Frankel,0,0,1,0,0,1
Donald Kendall and Assoc.,0,0,1,0,0,1
Donald Len Barreth,0,0,1,0,0,1
Donald M. Smith,0,0,1,0,0,1
Donald S. Alexander,0,0,1,0,0,1
Donald S. Redington,0,0,1,0,0,1
Donald W. Whittier,0,0,1,0,0,1
Donco Co.,0,0,1,0,0,1
Donhill Petro. Co.,0,0,1,0,0,1
Donnelly Production Co.,0,0,1,0,0,1
Dorothy E. Leingang,0,0,1,0,0,1
Dougan Drilling Co,0,0,1,0,0,1
Douglas-Stratton Oil Co.,0,0,1,0,0,1
Douglas Drilling Company,0,0,1,0,0,1
Douglas H Graham,0,0,1,0,0,1
"Douglas H. Graham, Oper.",0,0,1,0,0,1
Douglas Marcell,0,0,1,0,0,1
"Douglas Marcell, Oper.",0,0,1,0,0,1
"Douglas W. Baker, Trustee",0,0,1,0,0,1
Douglas Whitney,0,0,1,0,0,1
Dover Fiduciary Corp.,0,0,1,0,0,1
Down East Co.,0,0,1,0,0,1
Downey Land Co.,0,0,1,0,0,1
Downey Oil Corp.,0,0,1,0,0,1
Downs-Fleming,0,0,1,0,0,1
Dowser Exploration Venture,0,0,1,0,0,1
Doyle-Clune Oil Co.,0,0,1,0,0,1
Doyle D. Barnes,0,0,1,0,0,1
Dr. E. Lowell Schaefer,0,0,1,0,0,1
Dr. Edwin Larson,0,0,1,0,0,1
Dr. F. A. Speik,0,0,1,0,0,1
Dr. John B. Davis,0,0,1,0,0,1
Dr. Lamb,0,0,1,0,0,1
Dr. R. W. Hill,0,0,1,0,0,1
Dragon Oil Co.,0,0,1,0,0,1
Drake Supply Co.,0,0,1,0,0,1
Dralock Oil Co.,0,0,1,0,0,1
"Dresco, Inc.",0,0,1,0,0,1
"Drillers, Inc.",0,0,1,0,0,1
Dual Petroleum Corp.,0,0,1,0,0,1
Ducor Oil Co.,0,0,1,0,0,1
Ducor Petroleum Company,0,0,1,0,0,1
"Dudley-Kettleman Gas & Oil Co., Ltd.",0,0,1,0,0,1
"Dudley Ridge Oil Co., Ltd.",0,0,1,0,0,1
Dugan Oil Co.,0,0,1,0,0,1
"Dugite Resources, Inc.",0,0,1,0,0,1
Duke Oil Corp.,0,0,1,0,0,1
"Duke Realty La Palma Oil Well Abandonment, LLC",0,0,1,0,0,1
Dun Mar Oil Co.,0,0,1,0,0,1
Dunlap-Apex & Assoc.,0,0,1,0,0,1
Dunlap and Bell,0,0,1,0,0,1
Duquesne Oil Co.,0,0,1,0,0,1
Durango Oil Co.,0,0,1,0,0,1
Durgin Allen & Cosby,0,0,1,0,0,1
"Dusty Mac Resources, Inc.",0,0,1,0,0,1
Dutch Oil Co.,0,0,1,0,0,1
Dwight G. Vedder Co.,0,0,1,0,0,1
Dyak Expl Co. Ltd,0,0,1,0,0,1
Dyer Creek Oil Co.,0,0,1,0,0,1
"Dyna-World Investments, Inc.",0,0,1,0,0,1
Dynamic Builders Inc.,0,0,1,0,0,1
"E-T Marina, A Calif. Ltd. Part",0,0,1,0,0,1
E. A. Beaudette,0,0,1,0,0,1
E. A. Bender and Burton Benwell,0,0,1,0,0,1
E. A. Bender and D. D. Dunlap,0,0,1,0,0,1
E. A. Bender Drilling Co.,0,0,1,0,0,1
"E. A. Bender, et al",0,0,1,0,0,1
E. A. Fennell Co. Inc.,0,0,1,0,0,1
E. A. Hall,0,0,1,0,0,1
E. A. Parkford's Signal Hill Oil Synd. 1,0,0,1,0,0,1
E. A. Parkford-Bolsa Chica Oil,0,0,1,0,0,1
E. A. Parkford & Assoc.,0,0,1,0,0,1
E. and S. Oil Co.,0,0,1,0,0,1
E. B. Brooks Jr.,0,0,1,0,0,1
E. B. Campbell,0,0,1,0,0,1
E. B. Gormley,0,0,1,0,0,1
E. B. Kinney,0,0,1,0,0,1
E. C. Arnold Oil Company,0,0,1,0,0,1
E. C. Green,0,0,1,0,0,1
E. C. Johnson,0,0,1,0,0,1
E. C. Reid,0,0,1,0,0,1
E. C. Von Glahn & G Leingan,0,0,1,0,0,1
E. C. Von Glahn & P H Frank,0,0,1,0,0,1
E. D. Irons,0,0,1,0,0,1
E. D. Killingsworth and Noel C. Parker,0,0,1,0,0,1
E. D. Pauley & H.R. Pauley,0,0,1,0,0,1
E. D. Robertson,0,0,1,0,0,1
"E. D. Sweet, J. M. Kroninger & Roussel",0,0,1,0,0,1
E. D. Taylor Co.,0,0,1,0,0,1
E. E. Carpenter,0,0,1,0,0,1
E. E. Combs,0,0,1,0,0,1
"E. E. Combs, Fox M. Boswell, et al",0,0,1,0,0,1
"E. E. Easton, Trustee",0,0,1,0,0,1
E. E. Jennings,0,0,1,0,0,1
E. E. Mahannah,0,0,1,0,0,1
E. E. Millican,0,0,1,0,0,1
"E. E. Pyles, Oper.",0,0,1,0,0,1
E. F. Britton,0,0,1,0,0,1
E. F. Stella,0,0,1,0,0,1
E. G. Burke,0,0,1,0,0,1
E. G. Erickson,0,0,1,0,0,1
E. G. Erickson & C.K. Swanson,0,0,1,0,0,1
E. H. A. Andrews,0,0,1,0,0,1
E. H. Brawner,0,0,1,0,0,1
E. H. Brogdon,0,0,1,0,0,1
E. H. Jones and H. R. Pauley,0,0,1,0,0,1
E. H. Loose & J. Dietzmann,0,0,1,0,0,1
E. H. Lovelady & Page Frambes,0,0,1,0,0,1
E. H. Mitchell,0,0,1,0,0,1
E. I. du Pont de Nemours & Co. Inc.,0,0,1,0,0,1
E. J. Burns,0,0,1,0,0,1
E. J. Fife & R E Fife Sr,0,0,1,0,0,1
E. J. Harp and Geo. L. Tilton,0,0,1,0,0,1
E. J. Kasey and Associates,0,0,1,0,0,1
E. J. Woodward,0,0,1,0,0,1
E. Jorgensen,0,0,1,0,0,1
E. K. Allison Syndicate,0,0,1,0,0,1
E. K. Potter,0,0,1,0,0,1
E. L. Blanck,0,0,1,0,0,1
E. L. Cord,0,0,1,0,0,1
E. L. Corwin,0,0,1,0,0,1
E. L. Doheny & E L Doheny.,0,0,1,0,0,1
